date,name,lat,lon,address,NO2,O3,weather_date,temp_max,temp_min,precip_mm,cafe_rating,cafe_user_ratings_total,season,ndvi,nightlight,cafe_place_id,elevation_m,toilet_name,toilet_lat,toilet_lon,toilet_distance_m,geometry
2025-02-18,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.000176509945726486,0.16449817740129954,2025-02-18,-1.7,-11.6,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-19,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.000256419821396955,0.1958616476466274,2025-02-19,0.3,-13.1,0.0,4.4,61.0,Winter,0.0768086388707161,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-20,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.1796118079872509,2025-02-20,1.4,-7.1,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-21,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.16610657683493618,2025-02-21,5.5,-2.1,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-22,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.000166167394790154,0.16844297561894367,2025-02-22,9.7,0.2,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-23,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00010827911149282463,0.18260950824419175,2025-02-23,11.0,2.3,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-24,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00013695447224905448,0.16500776301022302,2025-02-24,13.6,0.0,0.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-25,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00015178468281244788,0.19169788439168706,2025-02-25,11.5,5.8,4.0,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-26,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0004335205596522122,0.18915572834981692,2025-02-26,9.2,3.8,5.4,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-27,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0001007426490024965,0.1771738980697837,2025-02-27,9.5,3.7,1.1,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-02-28,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00018381609364985884,0.18019876354014433,2025-02-28,5.9,1.7,3.1,4.4,61.0,Winter,,31.200000762939453,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-01,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012566501119100638,0.1351898501585965,2025-03-01,5.5,1.1,0.3,4.4,61.0,Spring,,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-02,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",6.899599836932176e-05,0.12383751315732566,2025-03-02,7.4,-0.1,0.0,4.4,61.0,Spring,,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-03,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",9.648768335438106e-05,0.11189640350743267,2025-03-03,8.9,2.9,0.0,4.4,61.0,Spring,0.07978591322898865,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-04,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00010381618012941004,0.12744119849880098,2025-03-04,10.6,0.2,0.0,4.4,61.0,Spring,,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-05,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0001528628215981663,0.11912880843528362,2025-03-05,14.8,1.1,0.0,4.4,61.0,Spring,,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-03-06,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.000171906033755733,0.1298487457351833,2025-03-06,15.7,1.1,0.0,4.4,61.0,Spring,0.08270688354969025,24.65999984741211,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
